,Precinct,OfnsDesc,CrimeCount
592,23,POSSESSION OF STOLEN PROPERTY,6
593,23,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),9
594,23,HARRASSMENT 2,1
595,23,PROSTITUTION & RELATED OFFENSES,5
596,23,ROBBERY,162
597,23,FELONY ASSAULT,128
598,23,DANGEROUS WEAPONS,315
599,23,DISORDERLY CONDUCT,78
600,23,CRIMINAL MISCHIEF & RELATED OFFENSES,102
601,23,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,66
602,23,INTOXICATED/IMPAIRED DRIVING,9
603,23,RAPE,6
604,23,VEHICLE AND TRAFFIC LAWS,45
605,23,OTHER OFFENSES RELATED TO THEFT,458
606,23,FRAUDS,32
607,23,DANGEROUS DRUGS,1533
608,23,OTHER STATE LAWS,534
609,23,CHILD ABANDONMENT/NON SUPPORT 1,1
610,23,GRAND LARCENY OF MOTOR VEHICLE,6
611,23,FORCIBLE TOUCHING,5
612,23,KIDNAPPING & RELATED OFFENSES,1
613,23,MOVING INFRACTIONS,5
614,23,OTHER STATE LAWS (NON PENAL LA,60
615,23,INTOXICATED & IMPAIRED DRIVING,64
616,23,ANTICIPATORY OFFENSES,3
617,23,ASSAULT 3 & RELATED OFFENSES,503
618,23,OFFENSES INVOLVING FRAUD,43
619,23,OTHER STATE LAWS (NON PENAL LAW),87
620,23,GRAND LARCENY,52
621,23,OFFENSES RELATED TO CHILDREN,3
622,23,PETIT LARCENY,99
